
EMAIL,"Subscriber Name","Subscriber ID","Contact No","Plan Name","Plan Type","Plan Status",Expiry,Currency,Amount,"RENEW PERIOD",CREATED
trailperiod@mob.com,trail,9sE2xZBMaw0e,,,,EXPIRED,"2020-08-06 10:38:50",,,,"2020-08-05 10:38:06"
plantrail@mom.com,"test plan",kRbMIiWkK2ds,,,,EXPIRED,"2020-08-06 09:53:12",,,,"2020-08-05 09:48:12"
hsj@jdos.com,Dbjf,NdXkrnaxswAl,,Sudhir_Premium,PREMIUM,EXPIRED,"2020-09-04 06:38:17",INR,299.00,MONTHLY,"2020-08-05 06:37:48"
bdkd@jsk.cj,Bdkd,4YWhDatlJSuT,,,,EXPIRED,"2020-08-05 11:56:47",,,,"2020-08-04 11:41:44"
siba@premiere.com,Premier,xhZB7i5ZTV4w,,,,ACTIVE,"2020-09-11 08:59:33",,49.00,MONTHLY,"2020-08-04 09:54:46"
siba@basic.com,Basich,At703Nkx55nq,,Sudhir_Basic,BASIC,EXPIRED,"2020-09-03 09:53:18",INR,100.00,MONTHLY,"2020-08-04 09:53:09"
test@plan.com,Eldho,sOhuYUapwt0s,,,,EXPIRED,"2020-08-05 09:46:39",,,,"2020-08-04 09:46:32"
vdjsk@hsk.com,Vdjd,R0llgWwua2hM,,,,EXPIRED,"2020-08-05 09:42:50",,,,"2020-08-04 09:42:32"
bsk@hf.cj,Hdjf,ISJoqE7Scccg,,,,EXPIRED,"2020-08-05 06:48:31",,,,"2020-08-04 06:48:24"
player@pop.com,player,cu08tb2B3MWG,,Sudhir_Basic,BASIC,EXPIRED,"2020-09-03 09:00:15",INR,100.00,MONTHLY,"2020-08-04 05:43:35"
bdj@jf.dkk,Bdd,zP7MWx3frOCa,,,,EXPIRED,"2020-08-04 12:36:17",,,,"2020-08-03 12:36:10"
gj@h.jo,Vjj,cDr5F1DXVdQ3,,Sudhir_Premium,PREMIUM,EXPIRED,"2020-09-02 12:35:02",INR,299.00,MONTHLY,"2020-08-03 12:34:49"
bdk@js.com,Bdkmd,conHDqUQUKji,,Sudhir_Basic,BASIC,EXPIRED,"2020-09-02 12:33:07",INR,100.00,MONTHLY,"2020-08-03 12:32:58"
bdnd@jdos.ck,Hdjnc,4f4Dm6oTpSBQ,,Sudhir_Basic,BASIC,EXPIRED,"2020-09-02 12:23:59",INR,100.00,MONTHLY,"2020-08-03 12:22:54"
test@sub.in,"Jeethu ",Mgbg7U2tsbXR,,Sudhir_Premium,PREMIUM,EXPIRED,"2020-09-02 11:06:48",INR,299.00,MONTHLY,"2020-08-03 11:06:29"
sub@je.com,"Jeethu ",EC7GGfPtY1c1,,Sudhir_Premium,PREMIUM,EXPIRED,"2020-09-02 10:57:01",INR,299.00,MONTHLY,"2020-08-03 10:56:44"
trail2@mob.com,Jeethu,AjrsmBSq16UA,,,,EXPIRED,"2020-08-04 10:45:08",,,,"2020-08-03 10:44:56"
bejd@nd.co,Bdjf,1jQ7sy3j1RZ2,,Sudhir_Basic,BASIC,EXPIRED,"2020-09-02 10:33:38",INR,100.00,MONTHLY,"2020-08-03 10:33:00"
sub@jee.com,"Submitted ",2FSTIVQEsg0t,,,,EXPIRED,"2020-08-04 10:41:14",,,,"2020-08-03 10:26:51"
Trail1@mob.com,Trail,BYJuIqR4CHpw,,,,EXPIRED,"2020-08-04 10:14:28",,,,"2020-08-03 10:05:53"
Trail@mob.com,Trail,W2A29cpgOxBt,,,,EXPIRED,"2020-08-04 09:53:28",,,,"2020-08-03 09:53:20"
dbf@jdk.co,Hfjf,0DQfmHohKptI,,"Test Premium Plan",PREMIUM,EXPIRED,"2020-09-02 09:52:22",INR,1.00,MONTHLY,"2020-08-03 09:44:04"
bfk@hfk.co,Gdjd,LQ20vc3adroV,,,,EXPIRED,"2020-08-04 09:33:34",,,,"2020-08-03 09:33:17"
signup@mob.com,testok11aacc,IaSVMUiyhEKg,,Sudhir_Premium,PREMIUM,EXPIRED,"2020-11-02 12:08:31",INR,299.00,MONTHLY,"2020-08-03 08:32:35"
bsns@jdk.co,Hdnfnf,8SR0nRERwWvv,,,,EXPIRED,"2020-08-04 08:25:53",,,,"2020-08-03 08:25:39"
revathy.vinod@mobiotics.com,"Revathy Vinod",ofGAZuSFsMpN,,,,EXPIRED,"2020-09-09 05:36:41",,100.00,MONTHLY,"2020-08-03 06:26:12"
aman@mob.com,aman,p8C2VxbizOCM,,,,EXPIRED,"2020-08-02 06:22:22",,,,"2020-08-01 06:22:16"
trial1@mob.com,trial,MozDYtWiYqqi,,,,EXPIRED,"2020-08-02 04:47:34",,,,"2020-08-01 04:47:18"
trial@mob.com,rdr,wUxKJdFfU6Ea,,,,EXPIRED,"2020-08-02 04:27:19",,,,"2020-08-01 04:26:56"
aks@mailinator.com,Akshata,kUunHOx5GcZ4,,,,EXPIRED,"2020-08-01 12:06:10",,,MONTHLY,"2020-07-31 12:05:24"
akshata@mailinator.com,ABC,FBXnyWZcWtGN,,,,EXPIRED,"2020-08-01 11:07:10",,,MONTHLY,"2020-07-31 11:06:37"
buy1@mob.com,Buy12,pIlIewjZtnWK,,"Test Premium Plan",PREMIUM,EXPIRED,"2020-08-17 05:56:04",INR,,,"2020-07-31 09:39:56"
BUY@mob.com,Gowda,ocZ7MtjD3UBi,,Sudhir_Basic,BASIC,EXPIRED,"2020-08-30 09:36:00",INR,100.00,MONTHLY,"2020-07-31 09:35:45"
event@test.com,Event,Iq4OTMZrv6xP,,Sudhir_Basic,BASIC,EXPIRED,"2020-08-30 09:15:00",INR,100.00,MONTHLY,"2020-07-31 08:55:05"
sub@pre.com,Jeethu,pgUJ9pqAV3pU,,"Test Premium Plan",PREMIUM,ACTIVE,"2021-07-31 05:46:06",INR,1.00,YEARLY,"2020-07-31 05:45:49"
hsks@hfos.com,Hdkfjd,x32beKSiOt7U,,Sudhir_Premium,PREMIUM,EXPIRED,"2020-08-30 05:08:17",INR,299.00,MONTHLY,"2020-07-31 05:08:01"
not@mob.com,"Jeethu ",hmVIME3A3fKu,,Sudhir_Premium,PREMIUM,EXPIRED,"2020-08-29 15:04:32",INR,299.00,MONTHLY,"2020-07-30 15:02:32"
gsizk@hsos.com,Bjsjf,g6UjAfwoI8Mr,,,,EXPIRED,"2020-08-29 08:41:56",,1.00,MONTHLY,"2020-07-30 08:41:01"
sudhir@mob.com,sudhir,jTBVvkzqjaSQ,,Sudhir_Basic,BASIC,EXPIRED,"2020-08-29 08:37:42",INR,100.00,MONTHLY,"2020-07-30 08:37:34"
pre@ak.com,Ak,PB3S58h8k0qL,,"Test Premium Plan",PREMIUM,EXPIRED,"2020-09-28 06:06:41",INR,1.00,MONTHLY,"2020-07-30 06:06:09"
Test@HD.com,Jeethu,hhipnzGf8Jx3,,Sudhir_Basic,BASIC,EXPIRED,"2020-08-28 15:35:27",INR,100.00,MONTHLY,"2020-07-29 15:30:41"
bdkdn@sbos.ci,Bdnd,RFCVWu1hLep7,,Sudhir_Premium,PREMIUM,EXPIRED,"2020-08-29 05:39:50",INR,299.00,MONTHLY,"2020-07-29 14:44:57"
jwof@hao.jvo,Sbdk,PdFBHaFTtd8B,,,,EXPIRED,"2020-07-30 12:22:03",,,,"2020-07-29 12:21:53"
bdis@jso.com,Vfknw,67RgBzZloWqN,,,,EXPIRED,"2020-07-30 12:16:20",,,,"2020-07-29 12:16:11"
bskd@isos.com,Bdkfnd,QoVqFjrkYzYz,,,,EXPIRED,"2020-07-30 12:08:57",,,,"2020-07-29 12:08:50"
bskd@hsks.cjksm,Bfkd,e2qIhRvLqVgk,,,,EXPIRED,"2020-07-30 12:08:20",,,,"2020-07-29 12:08:13"
gsdj@jso.com,Hskfbs,9IKoz5xhaLXa,,,,EXPIRED,"2020-07-30 12:05:02",,,,"2020-07-29 12:04:53"
basic@month.com,Jeethu,0D7GZHgvMHQ8,,,,ACTIVE,"2020-09-27 11:58:16",,1.00,MONTHLY,"2020-07-29 11:58:02"
vskx@ja.com,Hekf,PVs7aHbBrmmZ,,,,EXPIRED,"2020-07-30 11:45:08",,,,"2020-07-29 11:44:46"
akk@mob.com,Aks,tXh6HweIflly,,,,ACTIVE,"2020-10-06 12:29:40",,1.00,MONTHLY,"2020-07-29 11:42:46"
paytm@mob.com,paytm,Z9MxQ1CR0q7D,,Sudhir_Basic,BASIC,EXPIRED,"2020-08-28 11:30:10",INR,100.00,MONTHLY,"2020-07-29 11:29:59"
basicyearly@mob.com,"basic yearly",b95M5pbhV8DD,,,,ACTIVE,"2021-07-29 11:01:18",,1.00,YEARLY,"2020-07-29 11:00:55"
planbasic@mob.com,"basic plan f",Kdf0U7qp1bLu,,Sudhir_Basic,BASIC,ACTIVE,"2021-08-28 10:07:54",INR,200.00,YEARLY,"2020-07-29 10:03:27"
tesy@yearly.com,"Jeethu ",tw71kvOsp6pe,,Sudhir_Premium,PREMIUM,ACTIVE,"2021-07-29 09:53:22",INR,399.00,YEARLY,"2020-07-29 09:53:12"
plan@mob.com,plan,NXEkQnlMAMle,,Sudhir_Premium,PREMIUM,EXPIRED,"2020-08-28 08:02:24",INR,298.00,MONTHLY,"2020-07-29 07:58:13"
test@down.com,Test,tYYl9BS9khsP,,Sudhir_Premium,PREMIUM,EXPIRED,"2020-08-28 07:36:50",INR,299.00,MONTHLY,"2020-07-29 07:36:38"
test@up.in,Jeethu,9EYtztsUeUW7,,Sudhir_Basic,BASIC,EXPIRED,"2020-10-28 09:27:15",INR,100.00,MONTHLY,"2020-07-29 07:34:13"
vsks@jsos.odk,Vdjdf,oCrIMZcv06B5,,Sudhir_Premium,PREMIUM,EXPIRED,"2020-08-28 07:23:40",INR,299.00,MONTHLY,"2020-07-29 07:23:12"
p11@p11.pp,p11p11p,jQyZBThLWUK3,,,,EXPIRED,"2020-08-05 03:49:14",,1.00,MONTHLY,"2020-07-29 07:23:02"
vdkan@hsj.com,Vsjf,3VWIZL8l0IhC,,,,EXPIRED,"2020-07-30 04:49:21",,,,"2020-07-28 14:04:27"
up@mob.com,"Update ",PE6sA1wHkXkD,,,,EXPIRED,"2020-08-27 12:20:07",,50.00,MONTHLY,"2020-07-28 12:19:51"
test@sus.com,"Jeethu ",2mRQYEtXOrLB,,,,EXPIRED,"2020-07-29 11:58:49",,,,"2020-07-28 11:55:50"
test@in.com,"Jeethu ",khpmBtfPBh5f,,,,EXPIRED,"2020-07-29 11:50:02",,,,"2020-07-28 11:47:48"
test@pur.com,Test,q1jo5a3NUBTH,,"Test Premium Plan",PREMIUM,ACTIVE,"2021-07-28 11:28:20",INR,1.00,YEARLY,"2020-07-28 11:27:53"
aaa@aaa.aaa,Aaa,Jp3pZCLYIg99,,,,ACTIVE,"2021-07-28 10:24:02",,100.00,YEARLY,"2020-07-28 09:05:40"
test@jeethi.com,"Jeethu ",iBWUnbzAxwqm,,"Test Premium Plan",PREMIUM,EXPIRED,"2020-08-27 08:18:25",INR,1.00,MONTHLY,"2020-07-28 07:51:22"
Test@sub.com,Sub,npsoGEIrdFCm,,"Test Premium Plan",PREMIUM,ACTIVE,"2021-07-28 04:58:51",INR,1.00,YEARLY,"2020-07-28 04:58:35"
bdks@hsoa.cos,Bskf,x7a5EBqwC372,,,,EXPIRED,"2020-08-26 00:00:00",,50.00,MONTHLY,"2020-07-27 15:12:26"
rbje@hdow.fhk,Hwkd,NbBCR7lPhL12,,"Test Premium Plan",PREMIUM,EXPIRED,"2020-08-26 00:00:00",INR,1.00,MONTHLY,"2020-07-27 15:01:14"
bskd@hsks.cjks,Bdksc,boxcMfLgJGNY,,,,EXPIRED,"2020-08-26 00:00:00",,50.00,MONTHLY,"2020-07-27 14:33:18"
test@detail.com,Jeethu,s21oVG0rhUM0,,"Test Premium Plan",PREMIUM,ACTIVE,"2021-07-27 00:00:00",INR,1.00,YEARLY,"2020-07-27 12:51:41"
manojgvr1979@gmail.com,"Manoj Kumar",pj7trqmsdr0Y,,,,EXPIRED,"2020-08-26 00:00:00",,50.00,MONTHLY,"2020-07-27 12:43:30"
drm@mob.com,Drm,gVReLccigbxY,,,,ACTIVE,"2021-07-27 00:00:00",,100.00,YEARLY,"2020-07-27 09:45:01"
Test@aatma.com,Test,qmkg21714083,,,,EXPIRED,"2020-08-05 14:46:58",,,,"2020-07-27 08:15:27"
bakdk@hso.cjs,Bsnf,TREBpsnO0Ju9,,,,EXPIRED,"2020-07-28 06:32:34",,,,"2020-07-27 06:32:19"
sudhir.kmr@mobiotics.com,sudhir,G5LU3NKkwghF,,,,EXPIRED,"2020-07-28 06:43:45",,,,"2020-07-27 06:23:24"
test@je.com,Jeethu,Sl4Ea4h6xJCc,,,,EXPIRED,"2020-07-28 05:58:25",,,,"2020-07-27 05:58:03"
test@basic.com,Test,I2rrULL3CbGW,,Sudhir_Premium,PREMIUM,EXPIRED,"2020-10-07 06:42:53",INR,299.00,MONTHLY,"2020-07-27 05:22:11"
Test@aws.com,Aks,EPDgiWErbwhB,,"Test Premium Plan",PREMIUM,EXPIRED,"2020-08-26 00:00:00",INR,1.00,MONTHLY,"2020-07-27 05:18:47"
test@jeethu.comm,Jeethu,inkcSDfXnuHI,,,,EXPIRED,"2020-07-27 13:21:11",,,,"2020-07-26 12:55:47"
vsjs@hwiw.co,Gejjdb,SuAn2DpmfWr3,,,,EXPIRED,"2020-08-09 14:53:57",,,,"2020-07-25 14:53:52"
vsjak@hdi.cj,Hdks,vecAQNbbJEMA,,,,EXPIRED,"2020-08-09 14:45:47",,,,"2020-07-25 14:45:32"
lav@mobiotics.com,lav,s19iEKT83lWF,,,,EXPIRED,"2020-08-24 00:00:00",,20.00,MONTHLY,"2020-07-25 12:54:02"
raja@mobiotics.com,raj,GRf2StxaHd5Q,,,,EXPIRED,"2020-08-24 00:00:00",,20.00,MONTHLY,"2020-07-25 12:51:33"
exp@test.com,Expiry,pHfyom5A7UVJ,,,,EXPIRED,"2020-08-24 00:00:00",,20.00,MONTHLY,"2020-07-25 12:28:23"
jeethu@exp.com,"Jeethu ",sEZbveVKb7ku,,,,ACTIVE,"2020-08-24 00:00:00",,998.00,MONTHLY,"2020-07-25 10:37:33"
bskdbsk@hsks.cos,Bsks,s869vXpNbENN,,,,ACTIVE,"2020-08-24 00:00:00",,50.00,MONTHLY,"2020-07-25 09:32:41"
bsjkdns@bsoe.com,Bjsjd,5MTsL5TuZNvi,,,,ACTIVE,"2020-08-24 00:00:00",,50.00,MONTHLY,"2020-07-25 09:30:19"
bsjkfn@bkd.cbkd,Hdofn,g3qqPsP6vosn,,,,ACTIVE,"2020-08-24 00:00:00",,50.00,MONTHLY,"2020-07-25 09:20:01"
test@play1.com,Jeethu,FClUeecLR6bZ,,,,ACTIVE,"2020-08-23 00:00:00",,50.00,MONTHLY,"2020-07-24 15:26:59"
test@play.com,"Jeethu ",bpTwtBph3FT0,,,,ACTIVE,"2021-07-24 00:00:00",,299.00,YEARLY,"2020-07-24 14:36:16"
crash1@mob.com,"Jeethu ",KQdRmv0mZXrl,,,,TRIAL,"2020-07-25 12:41:32",,,,"2020-07-24 12:40:18"
sub@mob.com,Subscribe,3j7yoYKwgmY1,,,,ACTIVE,"2020-08-22 00:00:00",,50.00,MONTHLY,"2020-07-23 09:19:12"
ratan@mobtiotics.com,ratan,x3a9IY9BbyR0,,,,ACTIVE,"2020-08-22 00:00:00",,50.00,MONTHLY,"2020-07-23 06:05:08"
vdksn@hdis.con,Bekdz,jhxpkfI8FIbn,,,,ACTIVE,"2020-08-21 00:00:00",,50.00,MONTHLY,"2020-07-22 14:10:35"
aks@base.com,"Jeethu ",7tVC6awDPmYM,,,,ACTIVE,"2020-08-21 00:00:00",,50.00,MONTHLY,"2020-07-22 13:15:04"
test@expired.com,Jeethu,bZ4dD7j2ejvm,,,,EXPIRED,"2020-07-22 12:00:00",,50.00,MONTHLY,"2020-07-22 08:11:22"
bdkks@hdos.cis,Bdkd,jtNg927ONWqV,,,,ACTIVE,"2020-08-21 00:00:00",,50.00,MONTHLY,"2020-07-22 05:54:38"
bakmdsbs@gdi.com,Hsofnd,W0yMxAChOFyK,,,,ACTIVE,"2020-08-21 00:00:00",,50.00,MONTHLY,"2020-07-22 05:50:20"
vjsk@hsl.do,Sbkd,cbfYZzEfnrKJ,,,,ACTIVE,"2020-08-21 00:00:00",,50.00,MONTHLY,"2020-07-22 05:10:23"
bskd@ow.co,Jsldb,zC84aU9jPy0C,,,,ACTIVE,"2020-08-21 00:00:00",,50.00,MONTHLY,"2020-07-22 04:57:58"
sk@mobiotics.com,sudhir,QBOdnTR6W3TF,,,,ACTIVE,"2020-09-20 00:00:00",,50.00,MONTHLY,"2020-07-22 04:06:25"
eldhopjames@gmail.com,"Eldho James",M26fozBKjxuN,,,,ACTIVE,"2020-08-21 00:00:00",,50.00,MONTHLY,"2020-07-21 12:02:44"
jeethu@in.in,"Jeethu ",8ae94FHevcUq,,,,ACTIVE,"2020-08-20 00:00:00",,50.00,MONTHLY,"2020-07-21 11:02:46"
sudhir.km@mobiotics.com,sachin,COY4wpZugSFI,,,,ACTIVE,"2020-08-19 00:00:00",,50.00,MONTHLY,"2020-07-20 16:52:46"
bsk.jos@hd.com,Bdnfn,kpCvEwyho1LA,,,,ACTIVE,"2020-08-19 00:00:00",,50.00,MONTHLY,"2020-07-20 12:47:49"
jwodk@hdid.com,Bskfn,FCSpYeV6OHix,,,,ACTIVE,"2020-08-19 00:00:00",,50.00,MONTHLY,"2020-07-20 04:40:06"
test@test.testt,Testing,CcRMdmyzLvUl,,,,ACTIVE,"2020-08-19 00:00:00",,998.00,MONTHLY,"2020-07-19 12:50:03"
test@expiry.com,Jeethu,b9qktPezlGne,,,,ACTIVE,"2020-08-18 00:00:00",,50.00,MONTHLY,"2020-07-19 07:48:23"
tej@mobiotics.com,Tej,Za2z4VEkhEjU,,Sudhir_Basic,BASIC,EXPIRED,"2020-09-10 06:14:28",INR,100.00,MONTHLY,"2020-07-17 12:56:55"
kumar.sudhir@mobiotics.com,neer,PPK5henIDFX5,,,,ACTIVE,"2020-08-16 00:00:00",,50.00,MONTHLY,"2020-07-17 12:54:13"
sudhirkumar@mobiotics.com,raj,vedx4muxHOwE,,,,ACTIVE,"2020-08-16 00:00:00",,998.00,MONTHLY,"2020-07-17 12:48:32"
neels@mobiotics.com,neel,l4UbpemINscU,,,,ACTIVE,"2021-07-17 00:00:00",,1998.00,YEARLY,"2020-07-17 10:09:26"
Test@inn.com,Test,gJqmpMHZ9EwH,,Sudhir_Basic,BASIC,EXPIRED,"2020-08-15 00:00:00",INR,300.00,MONTHLY,"2020-07-16 11:55:59"
sudhir.kumar@mobiotics.ccm,sudhirkumar,6fsQ6u9Ry17P,,Sudhir_Premium,PREMIUM,EXPIRED,"2020-08-15 00:00:00",INR,30.00,MONTHLY,"2020-07-16 10:21:18"
jeethu@in.com,"Jeethu Gowdaxhxkjgsjtxj cnxjzjgzjgxjgdjg",kcFDVBb7D1VP,,Sudhir_Premium,PREMIUM,EXPIRED,"2020-08-15 00:00:00",INR,30.00,MONTHLY,"2020-07-16 03:23:51"
sudhir.kumar@mobiotics.mmm,sudhir,XOtcshT94CvA,,,,ACTIVE,"2020-08-19 00:00:00",,998.00,MONTHLY,"2020-07-15 08:40:09"
sudhir.kumar@mobiotics.ooo,"Jeethu ",IGMu1yC87yZN,,Sudhir_Premium,PREMIUM,EXPIRED,"2020-08-13 00:00:00",INR,30.00,MONTHLY,"2020-07-14 10:21:17"
p8@p8.pp,p8p8pp,ja1vbZYNRJc9,,,,EXPIRED,"2020-08-05 03:49:14",,899.00,MONTHLY,"2020-07-10 06:12:57"
p7@p7.pp,p7p7pp,mUzNMoqmmE5S,,,,ACTIVE,"2020-07-09 16:06:58",,899.00,YEARLY,"2020-07-09 11:37:39"
sudhir.kumar@mobiotics.cmm,sudhir,1VHK8YtkjgUg,,,,ACTIVE,"2020-08-07 00:00:00",,100.00,MONTHLY,"2020-07-08 11:09:39"
sudhir.kumar@mobiotic.ccm,sudhir,KhjR8SWeO8B4,,,,ACTIVE,"2020-08-07 00:00:00",,100.00,MONTHLY,"2020-07-08 10:52:13"
test@jeethu.in,Jeethu,zkFBMInJE9i5,,,,ACTIVE,"2020-08-06 00:00:00",,299.00,MONTHLY,"2020-07-07 13:40:10"
sudhir.kumar@mobiotics.ccc,"Jeethu Expired",NmxbB1t5NBaR,,,,EXPIRED,"2020-07-16 11:45:00",,100.00,MONTHLY,"2020-07-07 05:19:42"
svsvqmgjkn@privaterelay.appleid.com,Krishna,RUKrF2ep957P,,,,EXPIRED,"2020-08-20 08:47:48",,1.00,MONTHLY,"2020-07-03 08:42:36"
mobioticsdummy@gmail.com,"Mobiotics Itcompany",6dyU0qutzga6,,,,ACTIVE,"2020-09-11 08:59:33",,100.00,MONTHLY,"2020-07-02 05:58:41"
p3@p3.pp,P3p3pp,BFfK7V5NAkck,,,,ACTIVE,"2020-07-01 10:21:32",,10.00,MONTHLY,"2020-07-01 07:41:12"
sudhir.kumar@mobiotics.com,"Sudhir Kumar",zgTIuaZeIemD,,,,ACTIVE,"2020-08-07 00:00:00",,299.00,MONTHLY,"2020-06-23 11:05:29"
siba.biswal@mobiotics.com,SIBA,68OnZnm5o30Y,,"Test Basic Plan",BASIC,EXPIRED,"2020-09-21 06:10:36",INR,49.00,MONTHLY,"2020-06-15 12:22:40"
p2@p2.pp,p2p2pp,cKFTHKsftcUD,,,,ACTIVE,"2020-07-15 00:00:00",,10.00,MONTHLY,"2020-06-15 11:57:51"
p1@p1.pp,p1p1p,O3OAN3x82ZJ0,,,,ACTIVE,"2020-07-02 05:41:12",,30.00,MONTHLY,"2020-05-30 06:01:09"
test123@test.test,test,1qVC6J5JWrvV,,,,ACTIVE,"2020-07-19 05:19:12",,100.00,MONTHLY,"2020-05-28 05:05:31"
mohan.raj@mobiotics.com,"Mohanraj N",gaNq2QxZlyID,,,,EXPIRED,"2020-08-28 06:23:36",,50.00,MONTHLY,"2020-05-19 06:57:21"
eldho.james@mobiotics.com,"Eldho Mobiotic",YnmVXL1NxgVC,,Sudhir_Premium,PREMIUM,EXPIRED,"2020-11-09 12:17:41",INR,299.00,MONTHLY,"2020-05-18 04:30:23"
